{{Mod
|id                               = MinionsUseFlaskOnSummonUnique__1__
|domain                           = 1
|generation_type                  = 3
|required_level                   = 50
|mod_groups                       = MinionsUseFlaskOnSummon
|mod_type                         = MinionsUseFlaskOnSummon
|game_mode                        = 0
|stat_text                        = Your [[Minion|Minions]] use your [[Flask|Flasks]] when summoned
|stat1_id                         = minions_use_parents_flasks_on_summon
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = flask, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
