{{Mod
|id                               = LifeGainOnHitCursedEnemyUnique__1
|mod_groups                       = LifeGainPerTarget
|domain                           = 1
|generation_type                  = 3
|required_level                   = 61
|mod_type                         = LifeGainOnHitCursedEnemy
|stat_text                        = Gain (20-28) [[Life]] per Cursed Enemy [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = life_gained_on_attack_hit_vs_cursed_enemies
|stat1_min                        = 20
|stat1_max                        = 28
|tags                             = resource, life, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
