{{Mod
|id                               = JunMasterVeiledCurseEffect
|mod_groups                       = CurseEffectiveness
|domain                           = 28
|generation_type                  = 2
|required_level                   = 60
|name                             = of the Order
|mod_type                         = CurseEffectiveness
|stat_text                        = (8-10)% increased Effect of your [[Curse|Curses]]
|stat1_id                         = curse_effect_+%
|stat1_min                        = 8
|stat1_max                        = 10
|spawn_weight1_tag                = shield
|spawn_weight1_value              = 3000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = unveiled_mod, caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
