{{Mod
|id                               = EinharMasterSpellAddedLightningDamage1
|domain                           = 9
|generation_type                  = 1
|required_level                   = 30
|name                             = Upgraded
|mod_groups                       = SpellAddedElementalDamage
|mod_type                         = SpellAddedLightningDamage
|game_mode                        = 0
|stat_text                        = Adds (1-4) to (39-42) [[Lightning Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_lightning_damage
|stat1_min                        = 1
|stat1_max                        = 4
|stat2_id                         = spell_maximum_added_lightning_damage
|stat2_min                        = 39
|stat2_max                        = 42
|tags                             = elemental_damage, caster_damage, damage, elemental, lightning, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
