{{Mod
|id                               = JunMasterVeiledMinimumPowerCharges
|mod_groups                       = MinimumPowerCharges
|domain                           = 28
|generation_type                  = 2
|required_level                   = 60
|name                             = of the Order
|mod_type                         = MinimumPowerChargesAndOnKillChance
|stat_text                        = +1 to Minimum [[Power Charge|Power Charges]]<br>(3-4)% chance to gain a [[Power Charge]] on [[Kill]]
|stat1_id                         = base_minimum_power_charges
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = add_power_charge_on_kill_%_chance
|stat2_min                        = 3
|stat2_max                        = 4
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 1500
|spawn_weight2_tag                = amulet
|spawn_weight2_value              = 1500
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = power_charge, unveiled_mod
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
