{{Mod
|id                               = AbyssCurseEffectJewel2
|mod_groups                       = CurseEffectiveness
|domain                           = 13
|generation_type                  = 1
|required_level                   = 86
|name                             = Foul-tongued
|mod_type                         = CurseEffectiveness
|stat_text                        = 3% increased Effect of your [[Curse|Curses]]
|stat1_id                         = curse_effect_+%
|stat1_min                        = 3
|stat1_max                        = 3
|spawn_weight1_tag                = abyss_jewel_melee
|spawn_weight1_value              = 0
|spawn_weight2_tag                = abyss_jewel_ranged
|spawn_weight2_value              = 0
|spawn_weight3_tag                = abyss_jewel_caster
|spawn_weight3_value              = 0
|spawn_weight4_tag                = abyss_jewel_summoner
|spawn_weight4_value              = 0
|spawn_weight5_tag                = default
|spawn_weight5_value              = 0
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
