{{Mod
|id                               = SupportedByMeleeSplashDamageUber3
|mod_groups                       = SupportedByMelee
|domain                           = 1
|generation_type                  = 2
|required_level                   = 80
|name                             = of Shaping
|granted_skill                    = SupportMeleeSplash
|mod_type                         = SupportedByMeleeSplashDamage
|stat_text                        = [[Item socket|Socketed]] Gems are supported by [[Melee Splash Support|Level 20 Melee Splash]]<br>(33-37)% increased Area Damage
|stat1_id                         = local_display_socketed_gems_get_melee_splash_level
|stat1_min                        = 20
|stat1_max                        = 20
|stat2_id                         = area_damage_+%
|stat2_min                        = 33
|stat2_max                        = 37
|spawn_weight1_tag                = sword_shaper
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = axe_shaper
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = mace_shaper
|spawn_weight3_value              = 1000
|spawn_weight4_tag                = claw_shaper
|spawn_weight4_value              = 1000
|spawn_weight5_tag                = sceptre_shaper
|spawn_weight5_value              = 1000
|spawn_weight6_tag                = dagger_shaper
|spawn_weight6_value              = 1000
|spawn_weight7_tag                = rune_dagger_shaper
|spawn_weight7_value              = 1000
|spawn_weight8_tag                = default
|spawn_weight8_value              = 0
|generation_weight1_tag           = has_attack_mod
|generation_weight1_value         = 100
|generation_weight2_tag           = has_caster_mod
|generation_weight2_value         = 65
|generation_weight3_tag           = default
|generation_weight3_value         = 100
|tags                             = support, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
