{{Mod
|id                               = AnimalCharmBlindOnHitChance1
|mod_groups                       = AnimalCharmBlindOnHitChance
|domain                           = 35
|generation_type                  = 2
|required_level                   = 1
|name                             = of the Saboteur
|mod_type                         = AnimalCharmBlindOnHitChance
|stat_text                        = (5-10)% Global chance to Blind Enemies on [[Hit|hit]]
|stat1_id                         = global_chance_to_blind_on_hit_%
|stat1_min                        = 5
|stat1_max                        = 10
|spawn_weight1_tag                = int_animal_charm
|spawn_weight1_value              = 500
|spawn_weight2_tag                = dex_animal_charm
|spawn_weight2_value              = 500
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
