{{Passive skill
|id                                  = hex_zone_keystone2800_
|int_id                              = 43988
|name                                = Hex Master
|flavour_text                        = Hear these words but once and they will echo in your nightmares forever.
|is_keystone                         = True
|icon                                = KeystoneHexMaster
|stat1_id                            = keystone_hex_master
|stat1_value                         = 1
|stat_text                           = Your Hexes have infinite Duration<br />20% less Effect of your [[Curse|Curses]]
|connections                         = intelligence929
}}
