{{Base item
|rarity_id                               = normal
|name                                    = The Dungeon Master
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "So desperate was I for control, I turned my entire world into a prison. Now you will share in my agony."
|drop_level                              = 68
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheDungeonMaster
|stack_size                              = 7
|description                             = {{c|unique|Belt}}<br>{{c|default|Double-Influenced Item}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
