{{Base item
|rarity_id                               = normal
|name                                    = Prometheus' Armoury
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = It is a mortal man's folly to seek power beyond his comprehension.
|drop_level                              = 80
|tags                                    = weapon_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardPrometheusArmoury
|stack_size                              = 6
|description                             = {{c|rare|One-Hand Weapon}}<br>{{c|default|Item Level:}} {{c|normal|100}}<br>{{c|default|Double-Influenced Item}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
