{{Mod
|id                               = FireAndLightningResistUnique__1
|mod_groups                       = FireAndLightningResistance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FireAndLightningResistance
|stat_text                        = +(20-30)% to Fire and [[Lightning Resistance|Lightning Resistances]]
|stat1_id                         = fire_and_lightning_damage_resistance_%
|stat1_min                        = 20
|stat1_max                        = 30
|tags                             = elemental, fire, lightning, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
