{{Mod
|id                               = WeaponTreeDexterityGemLevel
|mod_groups                       = IncreaseSpecificSocketedGemLevel
|domain                           = 1
|generation_type                  = 31
|required_level                   = 45
|mod_type                         = WeaponTreeLocalIncreaseSocketedDexterityGemLevel
|stat_text                        = +1 to [[Level]] of [[Item socket|Socketed]] [[Dexterity]] Gems
|stat1_id                         = local_socketed_dexterity_gem_level_+
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = dagger
|spawn_weight1_value              = 250
|spawn_weight2_tag                = claw
|spawn_weight2_value              = 250
|spawn_weight3_tag                = sword
|spawn_weight3_value              = 250
|spawn_weight4_tag                = bow
|spawn_weight4_value              = 500
|spawn_weight5_tag                = axe
|spawn_weight5_value              = 250
|spawn_weight6_tag                = default
|spawn_weight6_value              = 0
}}
