{{Passive skill
|id                                  = with_sword_reduce_enemy_block1112
|int_id                              = 7288
|name                                = Damage and Reduce Enemy Block With Swords
|icon                                = damagesword
|stat1_id                            = while_using_sword_reduce_enemy_block_%
|stat1_value                         = 8
|stat2_id                            = physical_sword_damage_+%
|stat2_value                         = 6
|stat3_id                            = sword_ailment_damage_+%
|stat3_value                         = 6
|stat_text                           = 8% reduced Enemy Chance to [[Block]] [[Sword]] [[Attack|Attacks]]<br>6% increased [[Physical Damage]] with [[Sword|Swords]]<br>[[Sword]] [[Attack|Attacks]] deal 6% increased Damage with Ailments
}}
