{{Passive skill
|id                                  = banner_notable_2879
|int_id                              = 40619
|name                                = Awe and Terror
|is_notable                          = True
|icon                                = BannerAreaNotable
|stat1_id                            = banner_affected_enemies_explode_for_10%_life_as_physical_on_kill_chance_%
|stat1_value                         = 20
|stat2_id                            = banner_area_of_effect_+%
|stat2_value                         = 20
|stat_text                           = Enemies Killed near your Banner have 20% chance to Explode, dealing a tenth of their [[Life]] as [[Physical Damage]]<br>Banner [[Skill|Skills]] have 20% increased Area of Effect
|connections                         = mastery_banner_275,banner_node_2885,mastery_banner_275
}}
