{{Passive skill
|id                                  = atlas_torment_1_3
|int_id                              = 5239
|name                                = Seance
|is_notable                          = True
|is_atlas_passive                    = True
|icon                                = TormentNotable2 (AtlasTrees)
|stat1_id                            = map_rare_monsters_possessed_with_touched_minions_chance_%
|stat1_value                         = 100
|stat2_id                            = map_rare_monsters_possessed_with_touched_minions_num
|stat2_value                         = 5
|stat_text                           = Up to 5 Rare Monsters in each of your Maps are Possessed and their [[Minion|Minions]] are Touched
}}
