{{Mod
|id                               = CurseAreaOfEffectUnique__2_
|mod_groups                       = CurseAreaOfEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 76
|mod_type                         = CurseAreaOfEffect
|stat_text                        = 60% increased Area of Effect of Hex [[Skill|Skills]]
|stat1_id                         = curse_area_of_effect_+%
|stat1_min                        = 60
|stat1_max                        = 60
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
