{{Mod
|id                               = StarterPassiveJewelUnique__12__
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = StarterPassiveJewel
|mod_type                         = StarterPassiveJewel12
|game_mode                        = 0
|stat_text                        = While your [[Passive skill|Passive Skill]] Tree connects to the Witch's starting location, you gain:<br />20% increased [[Skill]] Effect Duration
|stat1_id                         = local_unique_jewel_skill_effect_duration_+%_with_passive_tree_connected_to_witch_start
|stat1_min                        = 20
|stat1_max                        = 20
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
