{{Passive skill
|id                                  = AscendancyCustomSaboteur10
|int_id                              = 52944
|name                                = Changing Seasons
|ascendancy_class                    = Saboteur
|is_notable                          = True
|icon                                = TempestNotable1 (AtlasTrees)
|stat1_id                            = chill_effect_is_reversed
|stat1_value                         = 1
|stat2_id                            = all_damage_taken_can_chill
|stat2_value                         = 1
|stat_text                           = The Effect of [[Chill]] on you is reversed<br>All Damage Taken from [[Hit|Hits]] can [[Chill]] you
}}
