{{Mod
|id                               = MinionDodgeChanceUnique__1
|mod_groups                       = MinionDodgeChance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionSpellDodgeChance
|stat_text                        = [[Minion|Minions]] have +(12-15)% chance to Suppress [[Spell Damage]]
|stat1_id                         = minion_spell_suppression_chance_%
|stat1_min                        = 12
|stat1_max                        = 15
|tags                             = minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
