{{Mod
|id                               = IncreasedAttackAreaOfEffectUnique__2_
|mod_groups                       = IncreasedAttackAreaOfEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = IncreasedAttackAreaOfEffect
|stat_text                        = 20% increased Area of Effect for [[Attack|Attacks]]
|stat1_id                         = attack_area_of_effect_+%
|stat1_min                        = 20
|stat1_max                        = 20
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
