{{Mod
|id                               = ColdAndLightningResistImplicitBoots1
|mod_groups                       = ColdAndLightningResistance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 78
|mod_type                         = ColdAndLightningResistance
|stat_text                        = +(8-12)% to Cold and [[Lightning Resistance|Lightning Resistances]]
|stat1_id                         = cold_and_lightning_damage_resistance_%
|stat1_min                        = 8
|stat1_max                        = 12
|tags                             = elemental, cold, lightning, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
