{{Passive skill
|id                                  = wand_elemental_damage215
|int_id                              = 30926
|name                                = Wand Elemental Damage and Penetration
|icon                                = masterywand
|stat1_id                            = wand_elemental_damage_+%
|stat1_value                         = 10
|stat2_id                            = reduce_enemy_elemental_resistance_with_weapons_%
|stat2_value                         = 2
|stat_text                           = 10% increased [[Elemental Damage]] with [[Axe|Wands]]<br>Damage with Weapons Penetrates 2% [[Elemental Resistance|Elemental Resistances]]
|connections                         = wand_elemental_damage213,wand_elemental_damage214
}}
