{{Passive skill
|id                                  = AscendancyCustomJuggernaut17
|int_id                              = 17511
|name                                = Spirit of Utula
|reminder_text                       = (Summons an immortal chieftain minion of the Kitava tribe to fight alongside you for a duration. This minion grants you a buff which makes a percentage of your leech recover instantly)
|ascendancy_class                    = Juggernaut
|is_multiple_choice_option           = True
|icon                                = JuggernautArmourNotable (Juggernaut)
|stat1_id                            = local_display_tattoo_trigger_level_x_utula
|stat1_value                         = 20
|stat2_id                            = has_trigger_on_taking_savage_hit_from_unique
|stat2_value                         = 1
|stat_text                           = Trigger [[Level|level]] 20 Summon Spirit of Utula [[Skill]] on taking a Savage [[Hit]] from a Unique Enemy
}}
