{{Mod
|id                               = V2AddedFireDamageCorrupted1
|mod_groups                       = AddedFireDamageSpellsAndAttacks
|domain                           = 1
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = AddedFireDamageSpellsAndAttacks
|stat_text                        = Adds (3-5) to (7-8) [[Fire Damage]] to [[Spell|Spells]] and [[Attack|Attacks]]
|stat1_id                         = spell_and_attack_minimum_added_fire_damage
|stat1_min                        = 3
|stat1_max                        = 5
|stat2_id                         = spell_and_attack_maximum_added_fire_damage
|stat2_min                        = 7
|stat2_max                        = 8
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, attack, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
