{{Mod
|id                               = AlwaysHitsUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AlwaysHits
|mod_type                         = AlwaysHits
|game_mode                        = 0
|stat_text                        = [[Hit|Hits]] can't be Evaded
|stat1_id                         = local_always_hit
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
