{{Item
|rarity_id                               = normal
|name                                    = Bestiary Scarab of the Herd
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The First Ones ran rampant and free in the forests of old.
|drop_level                              = 73
|tags                                    = scarab, scarab_grants_extra_content, bestiary_scarab, uncommon_scarab, default
|metadata_id                             = Metadata/Items/Scarabs/ScarabBeastsNew2
|help_text                               = Can be used in a personal Map Device to add modifiers to a Map.
|stack_size                              = 20
|description                             = Area contains 5 additional Red Beasts if it contains Einhar
|stack_size_currency_tab                 = 5000
|map_fragment_bonus1                     = ScarabBeastsNew3
}}
