{{Base item
|rarity_id                               = normal
|name                                    = The Lunaris Priestess
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Embrace the Light,<br>Await the Morrow,<br>No more Spite,<br>And no more Sorrow.
|drop_level                              = 37
|tags                                    = weapon_divination, unique_divination, unique_weapon_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheLunarisPriestess
|stack_size                              = 5
|description                             = {{c|unique|{{il|html=|Sire of Shards}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
