{{Mod
|id                               = SpellAddedChaosDamageInfluence3
|mod_groups                       = SpellAddedChaosDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 75
|name                             = Hunter's
|mod_type                         = SpellAddedChaosDamage
|stat_text                        = Adds (21-28) to (41-48) [[Chaos Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_chaos_damage
|stat1_min                        = 21
|stat1_max                        = 28
|stat2_id                         = spell_maximum_added_chaos_damage
|stat2_min                        = 41
|stat2_max                        = 48
|spawn_weight1_tag                = helmet_basilisk
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = caster_damage, chaos_damage, damage, chaos, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
