{{Passive skill
|id                                  = totem_placement_speed1508
|int_id                              = 10771
|name                                = Totem Attack and Cast Speed, Brand Cast Speed
|icon                                = totemandbrandattackspeed
|stat1_id                            = totem_skill_cast_speed_+%
|stat1_value                         = 5
|stat2_id                            = totem_skill_attack_speed_+%
|stat2_value                         = 7
|stat3_id                            = cast_speed_for_brand_skills_+%
|stat3_value                         = 5
|stat_text                           = [[Spell|Spells]] Cast by [[Totem|Totems]] have 5% increased [[Cast Speed]]<br>[[Attack|Attacks]] used by [[Totem|Totems]] have 7% increased [[Attack Speed]]<br>5% increased [[Cast Speed]] with Brand [[Skill|Skills]]
}}
