{{Passive skill
|id                                  = AscendancyPathfinder8
|int_id                              = 61805
|name                                = Master Alchemist
|ascendancy_class                    = Pathfinder
|is_notable                          = True
|icon                                = MasterAlchemist (PathFinder)
|stat1_id                            = flasks_%_chance_to_not_consume_charges
|stat1_value                         = 50
|stat2_id                            = dispel_status_ailments_on_flask_use
|stat2_value                         = 1
|stat_text                           = 50% chance for Flasks you use to not consume [[Charge|Charges]]<br>Removes Elemental Ailments when you use a Flask
|connections                         = AscendancyPathfinder7
}}
