{{Base item
|rarity_id                               = normal
|name                                    = Altered Perception
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = You mustn't forget: you won't be leaving this place.
|drop_level                              = 68
|tags                                    = currency_divination, currency_league_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardAlteredPerception
|stack_size                              = 3
|description                             = {{c|currency|{{il|html=|Simulacrum}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
