{{Passive skill
|id                                  = AscendancyCustomInquisitor8
|int_id                              = 9529
|name                                = Hewn Flesh
|ascendancy_class                    = Inquisitor
|is_notable                          = True
|icon                                = UltimatumNotable3 (AtlasTrees)
|stat1_id                            = base_skill_reserve_life_instead_of_mana
|stat1_value                         = 1
|stat2_id                            = base_life_reservation_efficiency_+%
|stat2_value                         = 100
|stat_text                           = [[Skill|Skills]] Reserve [[Life]] instead of [[Mana]]<br>100% increased [[Life]] Reservation Efficiency of [[Skill|Skills]]
}}
