{{Mod
|id                               = ChanceToBeCritJewelUpdatedUnique__1
|mod_groups                       = ChanceToTakeCriticalStrike
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChanceToTakeCriticalStrikeUpdated
|stat_text                        = [[Hit|Hits]] have (140-200)% increased [[Critical Strike Chance]] against you
|stat1_id                         = base_enemy_critical_strike_chance_+%_against_self
|stat1_min                        = 140
|stat1_max                        = 200
|tags                             = critical
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
