{{Item
|rarity_id                               = normal
|name                                    = Delirium Scarab of Mania
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = They're so loud! Why are they so loud?!<br>All you can do is scream!
|drop_level                              = 73
|tags                                    = scarab, scarab_grants_extra_content, delirium_scarab, uncommon_scarab, default
|metadata_id                             = Metadata/Items/Scarabs/ScarabDelirium2
|help_text                               = Can be used in a personal Map Device to add modifiers to a Map.
|stack_size                              = 20
|description                             = Delirium Reward Meters fill 100% faster in Area<br>Delirium in Area increases 50% faster with distance from the mirror
|stack_size_currency_tab                 = 5000
|map_fragment_limit                      = 2
|map_fragment_bonus1                     = ScarabDelirium2
}}
