{{Passive skill
|id                                  = AscendancyChampion11
|int_id                              = 11412
|name                                = Inspirational
|ascendancy_class                    = Champion
|is_notable                          = True
|icon                                = Inpirational (Champion)
|stat1_id                            = non_curse_aura_effect_+%
|stat1_value                         = 30
|stat2_id                            = on_leaving_banner_area_recover_%_of_planted_banner_resources
|stat2_value                         = 30
|stat3_id                            = you_and_allies_affected_by_your_placed_banners_regenerate_%_life_per_minute_per_resource
|stat3_value                         = 6
|stat_text                           = 30% increased effect of Non-Curse Auras from your [[Skill|Skills]]<br>When you leave your Banner's Area, recover 30% of the Valour consumed for that Banner<br>You and Allies near your Banner Regenerate 0.1% of [[Life]] per second for each Valour consumed for that Banner
|connections                         = AscendancyChampion2,AscendancyChampion2,AscendancyChampion5
}}
