{{Passive skill
|id                                  = affliction_notable_devastator
|int_id                              = 22581
|name                                = Devastator
|is_notable                          = True
|icon                                = IncreasedAttackDamageNotable
|stat1_id                            = attack_damage_+%
|stat1_value                         = 20
|stat2_id                            = attack_ailment_damage_+%
|stat2_value                         = 20
|stat3_id                            = enemies_explode_on_death_by_attack_for_10%_life_as_physical_damage
|stat3_value                         = 15
|stat_text                           = 20% increased [[Attack Damage]]<br>20% increased Damage with Ailments from [[Attack]] [[Skill|Skills]]<br>Enemies Killed with [[Attack]] [[Hit|Hits]] have a 15% chance to Explode, dealing a tenth of their [[Life]] as [[Physical Damage]]
}}
