{{Passive skill
|id                                  = minion_area_of_effect_notable2630
|int_id                              = 35685
|name                                = Fearsome Force
|is_notable                          = True
|icon                                = AreaofEffectofMinionsNotable
|stat1_id                            = minion_critical_strike_chance_+%
|stat1_value                         = 60
|stat2_id                            = minion_critical_strike_multiplier_+
|stat2_value                         = 20
|stat_text                           = [[Minion|Minions]] have 60% increased [[Critical Strike Chance]]<br>[[Minion|Minions]] have +20% to [[Critical Strike Multiplier]]
|connections                         = mastery_minionoffence192,minion_area_of_effect2629,minion_criticals2862
}}
