{{Mod
|id                               = SpellsAlwaysCritFinalRepeatUnique__1_
|mod_groups                       = SpellsAlwaysCritFinalRepeat
|domain                           = 1
|generation_type                  = 3
|required_level                   = 80
|mod_type                         = SpellsAlwaysCritFinalRepeat
|stat_text                        = [[Spell]] [[Skill|Skills]] always deal Critical Strikes on final Repeat
|stat1_id                         = spell_skills_always_crit_on_final_repeat
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = critical
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
