{{Passive skill
|id                                  = weapon_elemental_damage2164
|int_id                              = 30969
|name                                = Weapon Elemental Damage and Ailment Effect
|icon                                = weaponelementaldamagepercentage
|stat1_id                            = elemental_damage_with_attack_skills_+%
|stat1_value                         = 10
|stat2_id                            = non_damaging_ailment_effect_+%
|stat2_value                         = 10
|stat_text                           = 10% increased [[Elemental Damage]] with [[Attack]] [[Skill|Skills]]<br>10% increased Effect of Non-Damaging Ailments
|connections                         = weapon_elemental_damage2176,weapon_elemental_damage2163,weapon_elemental_damage2176
}}
