{{Mod
|id                               = TriggerSocketedSpellOnKillUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 40
|mod_groups                       = TriggerSocketedSpellOnKill
|granted_skill                    = SupportTriggerSpellOnKill
|mod_type                         = TriggerSocketedSpellOnKill
|game_mode                        = 0
|stat_text                        = 20% chance to Trigger [[Item socket|Socketed]] [[Spell]] on [[Kill]], with a 0.5 second Cooldown
|stat1_id                         = local_display_chance_to_trigger_socketed_spell_on_kill_%
|stat1_min                        = 20
|stat1_max                        = 20
|tags                             = skill, caster, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
