{{Base item
|rarity_id                               = normal
|name                                    = Alivia's Grace
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Her innocence and grace were enough to tame even the wildest of beasts.
|drop_level                              = 48
|tags                                    = armour_divination, unique_divination, unique_armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardAliviasGrace
|stack_size                              = 6
|description                             = {{c|unique|{{il|html=|Queen of the Forest}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
