{{Base item
|rarity_id                               = normal
|name                                    = Haunting Shadows
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = In the dead of night you may elude your shadows,<br>but they will always find you by dawn.
|drop_level                              = 68
|tags                                    = unique_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardHauntingShadows
|stack_size                              = 4
|description                             = {{c|unique|Metamorph Item}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
