{{Mod
|id                               = AbyssSpellAddedColdDamageJewel2
|mod_groups                       = SpellAddedColdSuffix
|domain                           = 13
|generation_type                  = 2
|required_level                   = 43
|name                             = of Ice
|mod_type                         = SpellAddedColdSuffix
|stat_text                        = Adds (9-11) to (12-14) [[Cold Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_cold_damage
|stat1_min                        = 9
|stat1_max                        = 11
|stat2_id                         = spell_maximum_added_cold_damage
|stat2_min                        = 12
|stat2_max                        = 14
|spawn_weight1_tag                = abyss_jewel_caster
|spawn_weight1_value              = 700
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, cold, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
