{{Mod
|id                               = ChanceToCastOnManaSpentUnique__1
|mod_groups                       = ChanceToCastOnManaSpent
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportCastOnManaSpent
|mod_type                         = ChanceToCastOnManaSpent
|stat_text                        = 50% chance to Trigger [[Item socket|Socketed]] [[Spell|Spells]] when you Spend at least 100 [[Mana]] on an<br />Upfront Cost to Use or Trigger a Skill, with a 0.1 second Cooldown
|stat1_id                         = cast_socketed_spells_on_X_mana_spent
|stat1_min                        = 100
|stat1_max                        = 100
|stat2_id                         = cast_socketed_spells_on_mana_spent_%_chance
|stat2_min                        = 50
|stat2_max                        = 50
|tags                             = skill, caster, gem
}}
