{{Mod
|id                               = SynthesisImplicitFlatColdDamageTaken3
|domain                           = 1
|generation_type                  = 3
|required_level                   = 24
|mod_groups                       = ColdDamageTaken
|mod_type                         = FlatColdDamageTaken
|game_mode                        = 0
|stat_text                        = -(80-40) [[Cold Damage]] taken from [[Hit|Hits]]
|stat1_id                         = cold_damage_taken_+
|stat1_min                        = -80
|stat1_max                        = -40
|tags                             = elemental, cold
}}
