{{Passive skill
|id                                  = Retaliation_notable_4
|int_id                              = 15226
|name                                = Cruel Retort
|is_notable                          = True
|icon                                = RetaliationSkillDamage
|stat1_id                            = every_fourth_retaliation_used_is_a_critical_strike
|stat1_value                         = 1
|stat2_id                            = retaliation_skill_speed_+%
|stat2_value                         = 20
|stat_text                           = Every fourth Retaliation [[Skill]] you use always Critically Strikes<br>Retaliation [[Skill|Skills]] have 20% increased Speed
|connections                         = mastery_Retalliation_3,Retaliation_node_3004,Retaliation_node_3005_,mastery_Retalliation_3
}}
