{{Passive skill
|id                                  = dual_wield_cast_speed_notable2304
|int_id                              = 44824
|name                                = Mysticism
|is_notable                          = True
|icon                                = DualWieldNotable
|stat1_id                            = cast_speed_while_dual_wielding_+%
|stat1_value                         = 6
|stat2_id                            = mana_regeneration_+%_for_4_seconds_on_movement_skill_use
|stat2_value                         = 40
|stat3_id                            = spell_damage_+%_while_dual_wielding
|stat3_value                         = 20
|stat_text                           = 6% increased [[Cast Speed]] while [[Dual Wield|Dual Wielding]]<br>40% increased [[Mana]] Regeneration if you've used a Movement [[Skill]] [[Recently]]<br>20% increased [[Spell Damage]] while [[Dual Wield|Dual Wielding]]
|connections                         = dual_wield_cast_speed2300,dual_wield_movement2302,mastery_dualwield89,dual_wield_movement2302,mastery_dualwield89
}}
