{{Passive skill
|id                                  = affliction_notable_brewed_for_potency_
|int_id                              = 4094
|name                                = Brewed for Potency
|is_notable                          = True
|icon                                = DamageOverTimeNotable
|stat1_id                            = damage_over_time_+%
|stat1_value                         = 24
|stat2_id                            = flask_life_and_mana_to_recover_+%
|stat2_value                         = 20
|stat3_id                            = charges_gained_+%
|stat3_value                         = 10
|stat_text                           = 24% increased Damage over Time<br>20% increased [[Life]] and [[Mana]] Recovery from Flasks<br>10% increased Flask [[Charge|Charges]] gained
}}
