{{Passive skill
|id                                  = AscendancyElementalist10
|int_id                              = 61259
|name                                = Mastermind of Discord
|ascendancy_class                    = Elementalist
|is_notable                          = True
|icon                                = PrimevalForce (Elementalist)
|stat1_id                            = exposure_you_inflict_applies_extra_%_to_affected_resistance
|stat1_value                         = -25
|stat2_id                            = mana_regeneration_rate_per_minute_%_if_inflicted_exposure_recently
|stat2_value                         = 60
|stat_text                           = Exposure you inflict applies an extra -25% to the affected Resistance<br>Regenerate 1% of [[Mana]] per second if you've inflicted Exposure [[Recently]]
|connections                         = AscendancyElementalist4,AscendancyElementalist3,AscendancyElementalist4
}}
