{{Mod
|id                               = WeaponTreeMinionAddedChaos4
|mod_groups                       = MinionAddedChaosDamage
|domain                           = 1
|generation_type                  = 31
|required_level                   = 70
|mod_type                         = WeaponTreeMinionAddedChaosDamage
|stat_text                        = [[Minion|Minions]] deal 11 to 17 additional [[Chaos Damage]]
|stat1_id                         = minion_global_minimum_added_chaos_damage
|stat1_min                        = 11
|stat1_max                        = 11
|stat2_id                         = minion_global_maximum_added_chaos_damage
|stat2_min                        = 17
|stat2_max                        = 17
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = weapon_can_roll_minion_modifiers
|spawn_weight2_value              = 1250
|spawn_weight3_tag                = minion_unique_weapon
|spawn_weight3_value              = 1250
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
}}
