{{Item
|rarity_id                               = normal
|name                                    = Dedication to the Goddess
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Before the Goddess, nothing remains hidden.<br>Adversity reveals old flaws and new strengths.
|drop_level                              = 1
|tags                                    = default
|metadata_id                             = Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessDedication
|help_text                               = Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Potential.
|stack_size                              = 1
|description                             = The Divine Font will offer additional Corrupted Gem crafting options.
|stack_size_currency_tab                 = 5000
}}
