{{Mod
|id                               = HarvestInfusedMapRampageLeagueCrafted
|mod_groups                       = MapRampageLeagueCrafted
|domain                           = 5
|generation_type                  = 3
|mod_type                         = MapRampageLeagueCrafted
|stat_text                        = Slaying Enemies in a [[Kill|kill]] streak grants [[Rampage]] bonuses<br>20% increased Quantity of Items found in this Area
|stat1_id                         = map_players_gain_rampage_stacks
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = map_item_drop_quantity_+%
|stat2_min                        = 20
|stat2_max                        = 20
}}
