{{Mod
|id                               = MinionAddedPhysicalDamageUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MinionAddedPhysicalDamage
|mod_type                         = MinionAddedPhysicalDamage
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] deal (90-102) to (132-156) additional [[Physical Damage]]
|stat1_id                         = minion_global_minimum_added_physical_damage
|stat1_min                        = 90
|stat1_max                        = 102
|stat2_id                         = minion_global_maximum_added_physical_damage
|stat2_min                        = 132
|stat2_max                        = 156
|tags                             = physical_damage, damage, physical, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
