{{Mod
|id                               = VillageMinionDamageOnWeapon2
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = WeaponCasterDamagePrefix
|mod_type                         = MinionDamageOnWeapon
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] deal (20-29)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 20
|stat1_max                        = 29
|tags                             = village_runesmithing_enchant, damage, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
