{{Item
|rarity_id                               = normal
|name                                    = The Mad King
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Fear the man who lusts for power, for he will do anything to get it.
|drop_level                              = 68
|tags                                    = unique_divination, boss_drop_card, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheMadKing
|stack_size                              = 7
|description                             = {{c|unique|[[Vaal Aspect]]}}
|stack_size_currency_tab                 = 5000
}}
