{{Mod
|id                               = ManaFlaskPassiveChargeGainUnique__1
|mod_groups                       = FlaskPassiveChargeGain
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ManaFlaskPassiveChargeGain
|stat_text                        = [[Mana]] [[Flask|Flasks]] gain (0-3) [[Charge|Charges]] every 3 seconds
|stat1_id                         = mana_flasks_gain_X_charges_every_3_seconds
|stat1_min                        = 0
|stat1_max                        = 3
}}
