{{Passive skill
|id                                  = armour_endurance_charge_notable2376
|int_id                              = -10907
|name                                = Inexorable
|is_notable                          = True
|icon                                = ArmourChargeNotable
|stat1_id                            = chance_to_gain_endurance_charge_when_hit_%
|stat1_value                         = 25
|stat2_id                            = armour_+%_while_stationary
|stat2_value                         = 50
|stat_text                           = 25% chance to gain an [[Endurance Charge]] when you are [[Hit]]<br>50% increased [[Armour]] while [[Stationary|stationary]]
}}
