{{Mod
|id                               = SpellsLoseIntensityUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = SpellsIntensityModifier
|mod_type                         = SpellsLoseIntensity
|game_mode                        = 0
|stat_text                        = [[Spell|Spells]] which have gained Intensity [[Recently]] lose 1 Intensity every 0.50 Seconds
|stat1_id                         = skills_lose_intensity_every_x_milliseconds_if_gained_intensity_recently
|stat1_min                        = 500
|stat1_max                        = 500
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
