{{Passive skill
|id                                  = affliction_notable_hounds_mark
|int_id                              = 9495
|name                                = Hound's Mark
|is_notable                          = True
|icon                                = CurseEffectNotable
|stat1_id                            = mark_skills_curse_effect_+%
|stat1_value                         = 20
|stat2_id                            = damage_+%_against_enemies_marked_by_you
|stat2_value                         = 20
|stat_text                           = 20% increased Effect of your Marks<br>20% increased Damage with [[Hit|Hits]] and Ailments against Marked Enemy
}}
