{{Passive skill
|id                                  = affliction_notable_pure_agony
|int_id                              = 5781
|name                                = Pure Agony
|is_notable                          = True
|icon                                = MinionDmgHeraldSkillsNotable
|stat1_id                            = minion_damage_+%_while_affected_by_a_herald
|stat1_value                         = 20
|stat2_id                            = maximum_virulence_stacks
|stat2_value                         = 5
|stat_text                           = [[Minion|Minions]] deal 20% increased Damage while you are affected by a Herald<br>+5 to Maximum Virulence
}}
