{{Mod
|id                               = V2AddedFireDamageCorrupted2
|mod_groups                       = AddedFireDamageSpellsAndAttacks
|domain                           = 1
|generation_type                  = 5
|required_level                   = 31
|mod_type                         = AddedFireDamageSpellsAndAttacks
|stat_text                        = Adds (7-10) to (15-18) [[Fire Damage]] to [[Spell|Spells]] and [[Attack|Attacks]]
|stat1_id                         = spell_and_attack_minimum_added_fire_damage
|stat1_min                        = 7
|stat1_max                        = 10
|stat2_id                         = spell_and_attack_maximum_added_fire_damage
|stat2_min                        = 15
|stat2_max                        = 18
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, attack, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
