{{Mod
|id                               = WeaponTreeSupportArrowNova2HHardMode
|mod_groups                       = WeaponTreeSupportArrowNova
|domain                           = 1
|generation_type                  = 31
|required_level                   = 38
|granted_skill                    = SupportArrowNova
|mod_type                         = WeaponTreeSupportArrowNova
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 10 Arrow Nova
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_rain
|stat1_min                        = 10
|stat1_max                        = 10
|spawn_weight1_tag                = bow
|spawn_weight1_value              = 25
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
