{{Base item
|rarity_id                               = normal
|name                                    = The Heroic Shot
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Try a thousand times, and eventually you'll have to give up.
|drop_level                              = 23
|tags                                    = currency_divination, currency_basic_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheHeroicShot
|stack_size                              = 1
|description                             = {{c|currency|17x {{il|html=|Chromatic Orb}}}}
|stack_size_currency_tab                 = 5000
}}
